Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income,,,,,,,,,,,,,,,,,,
35,35086,Renfrew--Nipissing--Pembroke,89050,3891757000 ,3563902000 ,3432849000 ,,,,,,,,,,,,,,,,,,
35,35087,Richmond Hill,93530,4503592000 ,4129937000 ,4000757000 ,,,,,,,,,,,,,,,,,,
35,35088,Carleton,70250,4623166000 ,4154514000 ,4084215000 ,,,,,,,,,,,,,,,,,,
35,35089,St. Catharines,89430,3667231000 ,3384811000 ,3244118000 ,,,,,,,,,,,,,,,,,,
35,35090,Toronto--St. Paul's,84310,8345925000 ,7732002000 ,7483359000 ,,,,,,,,,,,,,,,,,,
35,35091,Sarnia--Lambton,85410,4446601000 ,4073742000 ,3940034000 ,,,,,,,,,,,,,,,,,,
35,35092,Sault Ste. Marie,66010,2810612000 ,2589946000 ,2479661000 ,,,,,,,,,,,,,,,,,,
35,35093,Scarborough--Agincourt,88170,2914964000 ,2703016000 ,2549072000 ,,,,,,,,,,,,,,,,,,
35,35094,Scarborough Centre,87120,2785123000 ,2608013000 ,2464127000 ,,,,,,,,,,,,,,,,,,
35,35095,Scarborough--Guildwood,79810,2646869000 ,2465575000 ,2316276000 ,,,,,,,,,,,,,,,,,,
35,35096,Scarborough North,83790,2458145000 ,2286924000 ,2145585000 ,,,,,,,,,,,,,,,,,,
35,35097,Scarborough--Rouge Park,79890,3178403000 ,2924038000 ,2811287000 ,,,,,,,,,,,,,,,,,,
35,35098,Scarborough Southwest,83550,3213154000 ,2988728000 ,2838880000 ,,,,,,,,,,,,,,,,,,
35,35099,Simcoe--Grey,102440,4941058000 ,4537636000 ,4416650000 ,,,,,,,,,,,,,,,,,,
35,35100,Simcoe North,88900,3687437000 ,3391559000 ,3263536000 ,,,,,,,,,,,,,,,,,,
35,35101,Spadina--Fort York,84870,6107785000 ,5668180000 ,5541232000 ,,,,,,,,,,,,,,,,,,
35,35102,Stormont--Dundas--South Glengarry,82170,3255506000 ,3004051000 ,2861437000 ,,,,,,,,,,,,,,,,,,
35,35103,Sudbury,74160,3559571000 ,3284110000 ,3163173000 ,,,,,,,,,,,,,,,,,,
35,35104,Thornhill,94740,5410356000 ,4950305000 ,4817401000 ,,,,,,,,,,,,,,,,,,
35,35105,Thunder Bay--Rainy River,65290,2820281000 ,2591492000 ,2493318000 ,,,,,,,,,,,,,,,,,,
35,35106,Thunder Bay--Superior North,65180,2965647000 ,2716357000 ,2615993000 ,,,,,,,,,,,,,,,,,,
35,35107,Timmins--James Bay,63120,2799085000 ,2602654000 ,2487437000 ,,,,,,,,,,,,,,,,,,
35,35108,Toronto Centre,78060,4356091000 ,4045694000 ,3848501000 ,,,,,,,,,,,,,,,,,,
35,35109,Toronto--Danforth,79930,4396130000 ,4022500000 ,3895047000 ,,,,,,,,,,,,,,,,,,
35,35110,University--Rosedale,90860,8198883000 ,7651226000 ,7274583000 ,,,,,,,,,,,,,,,,,,
35,35111,Vaughan--Woodbridge,83860,4389445000 ,4044747000 ,3941462000 ,,,,,,,,,,,,,,,,,,
35,35112,Waterloo,85290,4799124000 ,4380298000 ,4291102000 ,,,,,,,,,,,,,,,,,,
35,35113,Wellington--Halton Hills,93300,5483144000 ,5029396000 ,4920245000 ,,,,,,,,,,,,,,,,,,
35,35114,Whitby,95910,5367164000 ,4888593000 ,4805501000 ,,,,,,,,,,,,,,,,,,
35,35115,Willowdale,106020,4591810000 ,4262731000 ,4136754000 ,,,,,,,,,,,,,,,,,,
35,35116,Windsor--Tecumseh,94160,4171733000 ,3860366000 ,3706203000 ,,,,,,,,,,,,,,,,,,
35,35117,Windsor West,95680,3553720000 ,3306851000 ,3123576000 ,,,,,,,,,,,,,,,,,,
35,35118,York Centre,83160,3574851000 ,3343765000 ,3209299000 ,,,,,,,,,,,,,,,,,,
35,35119,York--Simcoe,77820,3736142000 ,3446998000 ,3364994000 ,,,,,,,,,,,,,,,,,,
35,35120,York South--Weston,89900,2976681000 ,2805839000 ,2626146000 ,,,,,,,,,,,,,,,,,,
35,35121,Humber River--Black Creek,85250,2345721000 ,2229616000 ,2053287000 ,,,,,,,,,,,,,,,,,,
